year,name,artists,acousticness,danceability,energy,liveness,speechiness,weight
2010,Good Evening,['Mac Miller'],0.0496,0.531,0.78,0.363,0.426,0
2010,Im a Dog (feat. Gucci Mane),"['D.G. Yola', 'Gucci']",0.268,0.813,0.559,0.144,0.207,0
2010,Ironic,['Bo Burnham'],0.876,0.523,0.65,0.698,0.336,0
2010,Ramona,['Beck'],0.0359,0.413,0.565,0.139,0.0288,0
2010,Can't Forget You,['My Darkest Days'],0.00374,0.333,0.704,0.0848,0.0378,0
2010,Pentagon,['Sean Murray'],0.101,0.422,0.207,0.159,0.0287,0
2010,The Greatest Story Ever Told,['Ice Nine Kills'],0.0159,0.322,0.934,0.418,0.12,0
2010,Old Devil Moon,['Chet Baker'],0.9,0.578,0.22,0.107,0.0545,0
2010,Far Away,['Junip'],0.595,0.442,0.605,0.131,0.0333,0
2010,Cumbia el Mamut,['Conjunto Brio Norteño'],0.314,0.599,0.799,0.143,0.0496,0
2010,Mojado,['Ricardo Arjona'],0.395,0.672,0.593,0.077,0.111,0
2010,I Can't Hear You,['The Dead Weather'],0.0482,0.529,0.754,0.108,0.182,0
2010,25 de Diciembre,['Régulo Caro'],0.565,0.716,0.913,0.0829,0.0532,0
2010,Flyin' High (feat. Zac Brown),"['Kid Rock', 'Zac Brown']",0.146,0.517,0.771,0.111,0.0384,0
2010,Beauty School,['Deftones'],0.000059,0.397,0.9,0.228,0.0589,0
2010,Halo / Walking On Sunshine (Glee Cast Version),['Glee Cast'],0.0679,0.242,0.91,0.137,0.113,0
2010,Stomp,['The Stone Foxes'],0.1,0.742,0.455,0.213,0.0524,0
2010,Elizabeth,['Ghost'],0.0549,0.514,0.921,0.236,0.0496,0
2010,Miss Nothing,['The Pretty Reckless'],0.0000131,0.416,0.949,0.219,0.193,0
2010,Hello Good Morning,"['Diddy - Dirty Money', 'T.I.']",0.0597,0.616,0.954,0.669,0.239,0
2010,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 12 Divertissement - Tea - Chinese Dance","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",0.941,0.451,0.127,0.185,0.0338,0
2010,Animal Tracks,['Mountain Man'],0.722,0.443,0.206,0.195,0.0318,0
2010,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 12 Divertissement - Coffee - Arabian Dance","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",0.957,0.147,0.00477,0.118,0.0391,0
2010,Show Me A Good Time,['Drake'],0.0385,0.665,0.734,0.116,0.117,0
2010,With You in My Head (feat. The Black Angels),['UNKLE'],0.0113,0.424,0.841,0.0972,0.0549,0
2010,Long Flight,['Future Islands'],0.0875,0.445,0.77,0.854,0.0345,0
2010,Summertime,['Sex Bob-Omb'],0.187,0.552,0.823,0.088,0.0484,0
2010,Time of Our Lives,['Tyrone Wells'],0.734,0.474,0.388,0.107,0.026,0
2010,Toxic (Glee Cast Version),['Glee Cast'],0.131,0.607,0.74,0.0797,0.0561,0
2010,Girlfriend,['Ty Segall'],0.000596,0.224,0.925,0.0663,0.0834,0
2010,Extraction Point,['Hans Zimmer'],0.00148,0.449,0.663,0.106,0.0303,0
2010,No Matter What,['Papa Roach'],0.00191,0.488,0.925,0.0845,0.0535,0
2010,The Gaudy Side of Town,['Gayngs'],0.723,0.688,0.421,0.0734,0.0445,0
2010,Don't Rock The Jukebox,['Alan Jackson'],0.103,0.63,0.756,0.318,0.0256,0
2010,Bibbidi-Bobbidi-Boo (The Magic Song) - As heard in the Netflix series The Umbrella Academy,['Perry Como'],0.971,0.666,0.143,0.0967,0.183,0
2010,Goodbye Earl,['The Chicks'],0.0242,0.703,0.689,0.0757,0.0293,0
2010,H.O.C,['Kendrick Lamar'],0.105,0.613,0.591,0.191,0.391,0
2010,Coat of Arms,['Sabaton'],0.00585,0.374,0.986,0.15,0.302,0
2010,No Way,['The Naked And Famous'],0.00135,0.448,0.85,0.232,0.0416,0
2010,Sheila Ki Jawani,"['Sunidhi Chauhan', 'Vishal Dadlani']",0.305,0.803,0.859,0.553,0.185,0
2010,Heart For Brains,['Roar'],0.814,0.342,0.22,0.0707,0.0318,0
2010,Get Off Me,['Gorilla Zoe'],0.392,0.747,0.869,0.0637,0.223,0
2010,Invincible,['Two Steps from Hell'],0.00128,0.412,0.778,0.0753,0.033,0
2010,143,"['Bobby Brackins', 'Ray J']",0.0113,0.833,0.751,0.0235,0.0854,0
2010,Into Some Spirit World,['Geotic'],0.928,0.163,0.0998,0.0832,0.0416,0
2010,Polvo Y Nada,['Calibre 50'],0.297,0.657,0.732,0.0906,0.0429,0
2010,El Michoacano,['Los Alegres Del Barranco'],0.729,0.745,0.688,0.0728,0.154,0
2010,Take Me Away,['Keyshia Cole'],0.213,0.649,0.719,0.255,0.0321,0
2010,Walk in the Park,['Beach House'],0.061,0.637,0.549,0.0785,0.0253,0
2010,Numb,['MARINA'],0.396,0.462,0.461,0.0707,0.0314,0
2010,Duck Or Ape,['Roar'],0.00335,0.326,0.482,0.128,0.0351,0
2010,Lux Aurumque,"['Eric Whitacre', 'Eric Whitacre Singers']",0.986,0.0783,0.0262,0.11,0.0489,0
2010,To Darkness / Kripa,"['Dharohar Project', 'Laura Marling', 'Mumford & Sons']",0.0499,0.323,0.605,0.242,0.0478,0
2010,Right Above It - Edited,"['Lil Wayne', 'Drake']",0.0354,0.439,0.775,0.291,0.326,0
2010,Days Like These,['Jason Aldean'],0.0413,0.401,0.863,0.0689,0.0482,0
2010,C.L.U.,['Daft Punk'],0.343,0.353,0.511,0.228,0.0341,0
2010,Good Looking,['Don Omar'],0.00879,0.629,0.88,0.814,0.156,0
2010,A Place Where You Belong,['Bullet For My Valentine'],0.0000502,0.312,0.83,0.148,0.0364,0
2010,Buzzin Remix - Remix,"['Mann', '50 Cent']",0.118,0.723,0.937,0.328,0.138,0
2010,Glass House,"['Wiz Khalifa', 'Curren$y', 'Big K.R.I.T.']",0.103,0.742,0.908,0.223,0.148,0
2010,If She Could See Me Now,['Jason Aldean'],0.0017,0.632,0.866,0.153,0.0331,0
2010,Southern Voice,['Tim McGraw'],0.0446,0.63,0.877,0.113,0.0321,0
2010,Southern Constellations,['Pierce The Veil'],0.601,0.261,0.258,0.29,0.0291,0
